binary,nwarehouse,nitems,nthread,duration,nops,total_ops,exec_time,throughput
./tpcc.adr.clobber,10,1000000,1,10,0,578712,10.000000,57871
./tpcc.adr.undo,10,1000000,1,10,0,393770,10.000000,39377
./tpcc.eadr.clobber,10,1000000,1,10,0,668576,10.000000,66857
./tpcc.eadr.undo,10,1000000,1,10,0,727911,10.000000,72791
./tpcc.adr.clobber,10,1000000,1,10,0,578959,10.000000,57895
./tpcc.adr.undo,10,1000000,1,10,0,394021,10.000000,39402
./tpcc.eadr.clobber,10,1000000,1,10,0,675495,10.000000,67549
./tpcc.eadr.undo,10,1000000,1,10,0,723251,10.000000,72325
