binary,nwarehouse,nitems,nthread,duration,nops,total_ops,exec_time,throughput
./tpcc.adr.clobber,10,1000000,1,10,0,674672,10.000000,67467
./tpcc.adr.undo,10,1000000,1,10,0,408170,10.000000,40817
./tpcc.eadr.clobber,10,1000000,1,10,0,717515,10.000000,71751
./tpcc.eadr.undo,10,1000000,1,10,0,1080524,10.000000,108052
./tpcc.adr.clobber,10,1000000,1,10,0,677607,10.000000,67760
./tpcc.adr.undo,10,1000000,1,10,0,410068,10.000000,41006
./tpcc.eadr.clobber,10,1000000,1,10,0,700502,10.000000,70050
./tpcc.eadr.undo,10,1000000,1,10,0,1079112,10.000000,107911
